text,category,type,location,time,status
Dangerous pothole reported at BTM Layout.,Potholes,Non-Emergency,BTM Layout,2025-08-12 14:32:25,New
Air pollution level rising around MG Road.,Pollution,Non-Emergency,BTM Layout,2025-07-30 09:28:25,Acknowledged
Heavy traffic jam at Koramangala.,Traffic,Non-Emergency,Whitefield,2025-08-28 10:58:25,Resolved
"Injury reported at HSR Layout, need hospital support.",Medical,Emergency,Yeshwanthpur,2025-08-09 08:55:25,New
Heavy traffic jam at Whitefield.,Traffic,Non-Emergency,Electronic City,2025-08-12 07:58:25,New
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,Brigade Road,2025-08-06 16:58:25,Acknowledged
Huge fire reported at Koramangala.,Fire,Emergency,Yeshwanthpur,2025-08-18 13:37:25,Acknowledged
Waste blocking road at Hebbal.,Garbage,Non-Emergency,BTM Layout,2025-08-11 04:15:25,Resolved
Traffic congestion reported at Hebbal.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-20 07:25:25,New
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-25 15:05:25,Acknowledged
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,HSR Layout,2025-08-22 03:30:25,Acknowledged
Road at Yeshwanthpur has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-16 13:48:25,Acknowledged
Heart attack case reported at Indiranagar.,Medical,Emergency,Electronic City,2025-08-22 07:11:25,Resolved
"Murder reported near Hebbal, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-07 01:31:25,Acknowledged
"Car crash at Indiranagar, traffic blocked.",Accident,Emergency,Brigade Road,2025-08-15 12:12:25,New
"Major accident on BTM Layout, multiple vehicles involved.",Accident,Emergency,Indiranagar,2025-08-03 15:59:25,Acknowledged
Accident causing traffic delays on HSR Layout.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-18 23:43:25,Resolved
Accident causing traffic delays on Whitefield.,Traffic,Non-Emergency,Electronic City,2025-07-30 17:30:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,Indiranagar,2025-08-08 23:21:25,New
Plastic waste causing pollution at Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-07-31 08:46:25,Resolved
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Brigade Road,2025-08-08 04:57:25,New
Waste blocking road at Koramangala.,Garbage,Non-Emergency,Hebbal,2025-08-26 22:15:25,Acknowledged
"Murder reported near Koramangala, urgent action needed.",Crime,Emergency,Yeshwanthpur,2025-08-20 17:19:25,Acknowledged
"Road blocked near Whitefield, vehicles moving slowly.",Traffic,Non-Emergency,BTM Layout,2025-08-07 06:15:25,Resolved
"Garbage dumped at HSR Layout, smells bad.",Garbage,Non-Emergency,Electronic City,2025-08-24 23:14:25,Acknowledged
"Murder reported near Koramangala, urgent action needed.",Crime,Emergency,HSR Layout,2025-08-10 20:57:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,BTM Layout,2025-08-02 19:18:25,Resolved
Medical emergency near MG Road.,Medical,Emergency,Indiranagar,2025-08-19 06:23:25,Resolved
Water pollution noticed near Electronic City.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-26 23:34:25,New
Heavy traffic jam at Indiranagar.,Traffic,Non-Emergency,Indiranagar,2025-08-13 22:37:25,Resolved
Road at Electronic City has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-16 21:50:25,Resolved
"Road blocked near Hebbal, vehicles moving slowly.",Traffic,Non-Emergency,Koramangala,2025-08-22 20:11:25,New
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,Electronic City,2025-08-06 17:09:25,New
Plastic waste causing pollution at Electronic City.,Pollution,Non-Emergency,Koramangala,2025-08-03 08:19:25,Resolved
Road at Indiranagar has multiple potholes.,Potholes,Non-Emergency,BTM Layout,2025-08-03 17:26:25,Acknowledged
Heavy traffic jam at BTM Layout.,Traffic,Non-Emergency,Indiranagar,2025-07-29 01:32:25,Resolved
Robbery reported at Indiranagar.,Crime,Emergency,Brigade Road,2025-07-30 13:55:25,Resolved
Industrial smoke polluting air at Electronic City.,Pollution,Non-Emergency,MG Road,2025-08-19 08:25:25,Resolved
Suspicious activity noticed at MG Road.,Crime,Emergency,Koramangala,2025-08-10 03:36:25,Acknowledged
Plastic waste causing pollution at Yeshwanthpur.,Pollution,Non-Emergency,Brigade Road,2025-08-19 21:22:25,Resolved
Industrial smoke polluting air at BTM Layout.,Pollution,Non-Emergency,HSR Layout,2025-08-22 03:35:25,New
Suspicious activity noticed at Yeshwanthpur.,Crime,Emergency,Whitefield,2025-08-25 07:01:25,Acknowledged
Huge fire reported at Yeshwanthpur.,Fire,Emergency,HSR Layout,2025-08-22 19:55:25,Acknowledged
Robbery reported at Indiranagar.,Crime,Emergency,Electronic City,2025-08-09 04:34:25,Resolved
Heavy traffic jam at Koramangala.,Traffic,Non-Emergency,Electronic City,2025-08-14 04:49:25,New
Industrial smoke polluting air at Electronic City.,Pollution,Non-Emergency,Whitefield,2025-08-04 01:44:25,Acknowledged
"Smoke rising near HSR Layout, seems like a fire incident.",Fire,Emergency,BTM Layout,2025-08-13 00:43:25,New
Building caught fire at Yeshwanthpur.,Fire,Emergency,Hebbal,2025-08-04 14:28:25,Acknowledged
Building caught fire at Koramangala.,Fire,Emergency,Koramangala,2025-08-06 16:30:25,Acknowledged
Plastic waste causing pollution at BTM Layout.,Pollution,Non-Emergency,Electronic City,2025-08-16 22:29:25,Acknowledged
Plastic waste causing pollution at Indiranagar.,Pollution,Non-Emergency,Brigade Road,2025-08-08 10:23:25,Resolved
"Major accident on Yeshwanthpur, multiple vehicles involved.",Accident,Emergency,Yeshwanthpur,2025-08-06 04:43:25,New
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Brigade Road,2025-08-06 03:12:25,New
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-26 07:45:25,New
Heavy traffic jam at Whitefield.,Traffic,Non-Emergency,BTM Layout,2025-08-16 20:12:25,New
Heart attack case reported at Whitefield.,Medical,Emergency,Indiranagar,2025-07-30 19:01:25,Resolved
Plastic waste causing pollution at HSR Layout.,Pollution,Non-Emergency,BTM Layout,2025-08-13 00:58:25,Resolved
Garbage not collected from Indiranagar for 3 days.,Garbage,Non-Emergency,Brigade Road,2025-08-02 06:42:25,New
Accident causing traffic delays on Yeshwanthpur.,Traffic,Non-Emergency,Whitefield,2025-08-22 03:13:25,Acknowledged
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Koramangala,2025-08-19 00:55:25,New
Pothole causing accidents near MG Road.,Potholes,Non-Emergency,Indiranagar,2025-08-22 19:43:25,Acknowledged
Heart attack case reported at Hebbal.,Medical,Emergency,Yeshwanthpur,2025-08-28 00:00:25,Resolved
Waste blocking road at Indiranagar.,Garbage,Non-Emergency,Yeshwanthpur,2025-07-31 03:15:25,New
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,Brigade Road,2025-08-03 19:46:25,New
Road at Electronic City has multiple potholes.,Potholes,Non-Emergency,HSR Layout,2025-08-19 16:21:25,Resolved
Air pollution level rising around Koramangala.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-22 11:12:25,Resolved
Suspicious activity noticed at Whitefield.,Crime,Emergency,Electronic City,2025-08-07 20:20:25,New
Accident causing traffic delays on Indiranagar.,Traffic,Non-Emergency,Koramangala,2025-07-30 23:33:25,Acknowledged
"Bike accident occurred at Indiranagar, police required.",Accident,Emergency,Whitefield,2025-08-19 09:07:25,Acknowledged
"Person fainted at Hebbal, need medical help.",Medical,Emergency,Koramangala,2025-08-04 15:39:25,Resolved
"Road blocked near Brigade Road, vehicles moving slowly.",Traffic,Non-Emergency,Koramangala,2025-07-29 20:47:25,Acknowledged
"Injury reported at Electronic City, need hospital support.",Medical,Emergency,Koramangala,2025-08-09 08:54:25,Acknowledged
Huge fire reported at Koramangala.,Fire,Emergency,Brigade Road,2025-08-12 00:39:25,New
Plastic waste causing pollution at Electronic City.,Pollution,Non-Emergency,Hebbal,2025-07-29 14:06:25,New
Waste blocking road at HSR Layout.,Garbage,Non-Emergency,Hebbal,2025-08-14 02:00:25,New
Accident causing traffic delays on Whitefield.,Traffic,Non-Emergency,MG Road,2025-08-17 16:06:25,Acknowledged
Heavy traffic jam at Indiranagar.,Traffic,Non-Emergency,Indiranagar,2025-08-24 05:48:25,Acknowledged
"Road accident reported near HSR Layout, need ambulance.",Accident,Emergency,Yeshwanthpur,2025-08-28 14:16:25,New
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,Brigade Road,2025-08-01 23:23:25,New
Water pollution noticed near Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-09 21:11:25,Resolved
Dangerous pothole reported at BTM Layout.,Potholes,Non-Emergency,Indiranagar,2025-08-25 18:54:25,Resolved
Robbery reported at HSR Layout.,Crime,Emergency,Whitefield,2025-08-20 16:21:25,Acknowledged
Waste blocking road at Yeshwanthpur.,Garbage,Non-Emergency,Koramangala,2025-08-16 00:45:25,Resolved
"Smoke rising near BTM Layout, seems like a fire incident.",Fire,Emergency,Hebbal,2025-08-25 18:03:25,New
Suspicious activity noticed at Brigade Road.,Crime,Emergency,Electronic City,2025-08-05 04:53:25,Acknowledged
"Road accident reported near Hebbal, need ambulance.",Accident,Emergency,Electronic City,2025-08-27 06:15:25,Resolved
Building caught fire at Hebbal.,Fire,Emergency,BTM Layout,2025-07-30 20:48:25,Acknowledged
Garbage not collected from Electronic City for 3 days.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-03 23:14:25,Acknowledged
"Huge pothole on Electronic City, risky for bikers.",Potholes,Non-Emergency,HSR Layout,2025-08-08 17:23:25,Acknowledged
"Garbage dumped at MG Road, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-28 10:54:25,Acknowledged
Emergency! Fire outbreak at Yeshwanthpur.,Fire,Emergency,Electronic City,2025-08-23 14:18:25,Acknowledged
Heavy traffic jam at Indiranagar.,Traffic,Non-Emergency,Brigade Road,2025-08-24 08:09:25,Acknowledged
Pothole causing accidents near Electronic City.,Potholes,Non-Emergency,BTM Layout,2025-08-02 20:16:25,New
Dangerous pothole reported at Electronic City.,Potholes,Non-Emergency,Brigade Road,2025-08-04 10:19:25,Resolved
Water pollution noticed near Electronic City.,Pollution,Non-Emergency,Koramangala,2025-08-10 05:20:25,Acknowledged
Waste blocking road at Indiranagar.,Garbage,Non-Emergency,MG Road,2025-07-31 14:40:25,Resolved
Overflowing trash bin near BTM Layout.,Garbage,Non-Emergency,BTM Layout,2025-08-22 02:12:25,Resolved
"Person fainted at Brigade Road, need medical help.",Medical,Emergency,Indiranagar,2025-08-21 00:10:25,New
Emergency! Fire outbreak at Hebbal.,Fire,Emergency,Indiranagar,2025-08-08 22:34:25,Resolved
"Major accident on Whitefield, multiple vehicles involved.",Accident,Emergency,Koramangala,2025-08-12 09:34:25,New
Accident causing traffic delays on Hebbal.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-08 09:51:25,Resolved
Pothole causing accidents near Yeshwanthpur.,Potholes,Non-Emergency,Indiranagar,2025-08-10 19:09:25,New
"Garbage dumped at Yeshwanthpur, smells bad.",Garbage,Non-Emergency,Whitefield,2025-08-07 11:50:25,New
Pothole causing accidents near Electronic City.,Potholes,Non-Emergency,Brigade Road,2025-08-24 20:09:25,Acknowledged
Waste blocking road at Brigade Road.,Garbage,Non-Emergency,Brigade Road,2025-08-09 23:17:25,New
Heart attack case reported at Yeshwanthpur.,Medical,Emergency,HSR Layout,2025-08-01 16:32:25,Acknowledged
Industrial smoke polluting air at Electronic City.,Pollution,Non-Emergency,Brigade Road,2025-08-28 15:17:25,Resolved
"Huge pothole on HSR Layout, risky for bikers.",Potholes,Non-Emergency,Brigade Road,2025-08-13 23:44:25,Acknowledged
"Fight broke out at Koramangala, police required.",Crime,Emergency,Koramangala,2025-08-07 11:55:25,Resolved
"Injury reported at Electronic City, need hospital support.",Medical,Emergency,Koramangala,2025-07-30 04:07:25,Acknowledged
"Murder reported near Indiranagar, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-24 15:49:25,Acknowledged
Pothole causing accidents near Whitefield.,Potholes,Non-Emergency,Whitefield,2025-08-24 08:56:25,Acknowledged
Traffic congestion reported at Whitefield.,Traffic,Non-Emergency,Brigade Road,2025-08-15 04:39:25,Acknowledged
Suspicious activity noticed at Electronic City.,Crime,Emergency,HSR Layout,2025-08-16 01:59:25,Resolved
Heart attack case reported at Hebbal.,Medical,Emergency,Koramangala,2025-07-29 07:42:25,New
Overflowing trash bin near MG Road.,Garbage,Non-Emergency,Indiranagar,2025-07-30 18:05:25,Acknowledged
Medical emergency near Koramangala.,Medical,Emergency,Hebbal,2025-08-22 01:23:25,Resolved
Garbage not collected from Koramangala for 3 days.,Garbage,Non-Emergency,Indiranagar,2025-08-06 20:36:25,Acknowledged
Building caught fire at Koramangala.,Fire,Emergency,Whitefield,2025-08-20 08:30:25,Resolved
"Fight broke out at Yeshwanthpur, police required.",Crime,Emergency,Indiranagar,2025-08-18 16:39:25,Acknowledged
Heart attack case reported at Hebbal.,Medical,Emergency,Brigade Road,2025-08-16 23:10:25,New
"Bike accident occurred at Hebbal, police required.",Accident,Emergency,Brigade Road,2025-08-12 20:32:25,New
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,HSR Layout,2025-08-06 17:53:25,Resolved
"Bike accident occurred at HSR Layout, police required.",Accident,Emergency,Yeshwanthpur,2025-08-19 01:38:25,New
Heart attack case reported at HSR Layout.,Medical,Emergency,Brigade Road,2025-07-31 01:46:25,Resolved
"Road accident reported near Koramangala, need ambulance.",Accident,Emergency,Indiranagar,2025-08-27 15:12:25,Acknowledged
"Car crash at Brigade Road, traffic blocked.",Accident,Emergency,Whitefield,2025-08-13 20:44:25,New
Pothole causing accidents near BTM Layout.,Potholes,Non-Emergency,Indiranagar,2025-08-09 11:32:25,Acknowledged
"Murder reported near Hebbal, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-17 06:09:25,Acknowledged
"Car crash at Yeshwanthpur, traffic blocked.",Accident,Emergency,BTM Layout,2025-08-27 19:38:25,New
Air pollution level rising around Indiranagar.,Pollution,Non-Emergency,Indiranagar,2025-08-25 14:36:25,Resolved
Industrial smoke polluting air at Indiranagar.,Pollution,Non-Emergency,Hebbal,2025-08-23 13:52:25,Acknowledged
Emergency! Fire outbreak at Yeshwanthpur.,Fire,Emergency,Brigade Road,2025-08-06 00:14:25,New
"Injury reported at HSR Layout, need hospital support.",Medical,Emergency,MG Road,2025-08-05 19:01:25,New
"Smoke rising near HSR Layout, seems like a fire incident.",Fire,Emergency,Brigade Road,2025-08-24 04:24:25,New
Robbery reported at HSR Layout.,Crime,Emergency,Koramangala,2025-08-23 01:03:25,Resolved
"Road blocked near BTM Layout, vehicles moving slowly.",Traffic,Non-Emergency,Hebbal,2025-08-12 23:32:25,New
Garbage not collected from MG Road for 3 days.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-15 11:37:25,Resolved
Garbage not collected from Brigade Road for 3 days.,Garbage,Non-Emergency,Whitefield,2025-08-21 13:54:25,Resolved
Heart attack case reported at Yeshwanthpur.,Medical,Emergency,Brigade Road,2025-08-08 22:06:25,Acknowledged
Plastic waste causing pollution at Hebbal.,Pollution,Non-Emergency,Yeshwanthpur,2025-07-30 14:03:25,Resolved
"Major accident on Koramangala, multiple vehicles involved.",Accident,Emergency,Electronic City,2025-08-02 20:44:25,New
Traffic congestion reported at Koramangala.,Traffic,Non-Emergency,MG Road,2025-08-20 04:41:25,Resolved
"Fight broke out at Indiranagar, police required.",Crime,Emergency,Hebbal,2025-08-28 06:51:25,Resolved
Overflowing trash bin near Electronic City.,Garbage,Non-Emergency,Electronic City,2025-08-09 17:58:25,Resolved
Industrial smoke polluting air at Yeshwanthpur.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-20 16:56:25,Acknowledged
Heavy traffic jam at Whitefield.,Traffic,Non-Emergency,Electronic City,2025-08-07 18:38:25,Acknowledged
"Murder reported near HSR Layout, urgent action needed.",Crime,Emergency,HSR Layout,2025-08-27 13:08:25,Resolved
Pothole causing accidents near Indiranagar.,Potholes,Non-Emergency,Koramangala,2025-08-01 23:25:25,Acknowledged
"Major accident on BTM Layout, multiple vehicles involved.",Accident,Emergency,Whitefield,2025-07-31 03:35:25,Acknowledged
Robbery reported at MG Road.,Crime,Emergency,Hebbal,2025-08-13 19:55:25,New
Dangerous pothole reported at HSR Layout.,Potholes,Non-Emergency,Whitefield,2025-08-24 12:03:25,Acknowledged
"Injury reported at Whitefield, need hospital support.",Medical,Emergency,BTM Layout,2025-08-23 15:36:25,Acknowledged
Industrial smoke polluting air at Electronic City.,Pollution,Non-Emergency,Brigade Road,2025-08-16 14:31:25,Resolved
"Murder reported near Brigade Road, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-08 12:36:25,Acknowledged
Robbery reported at Whitefield.,Crime,Emergency,Brigade Road,2025-08-03 17:29:25,Resolved
"Car crash at Yeshwanthpur, traffic blocked.",Accident,Emergency,Electronic City,2025-07-31 15:31:25,New
Robbery reported at BTM Layout.,Crime,Emergency,Electronic City,2025-08-25 07:09:25,Resolved
Road at MG Road has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-19 14:32:25,Acknowledged
Building caught fire at Indiranagar.,Fire,Emergency,Indiranagar,2025-08-16 18:15:25,New
"Road blocked near Yeshwanthpur, vehicles moving slowly.",Traffic,Non-Emergency,Yeshwanthpur,2025-08-25 04:32:25,Acknowledged
Robbery reported at MG Road.,Crime,Emergency,Yeshwanthpur,2025-08-19 08:25:25,Acknowledged
Robbery reported at Hebbal.,Crime,Emergency,Electronic City,2025-08-03 18:22:25,New
Huge fire reported at Brigade Road.,Fire,Emergency,Whitefield,2025-07-29 03:59:25,New
Huge fire reported at Whitefield.,Fire,Emergency,HSR Layout,2025-08-11 17:35:25,Resolved
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Koramangala,2025-08-04 17:43:25,Acknowledged
"Person fainted at Yeshwanthpur, need medical help.",Medical,Emergency,BTM Layout,2025-08-19 09:32:25,Resolved
Accident causing traffic delays on Electronic City.,Traffic,Non-Emergency,MG Road,2025-08-14 20:07:25,Resolved
Garbage not collected from Indiranagar for 3 days.,Garbage,Non-Emergency,MG Road,2025-08-23 05:06:25,New
Heart attack case reported at MG Road.,Medical,Emergency,Yeshwanthpur,2025-08-09 14:48:25,Acknowledged
Overflowing trash bin near Brigade Road.,Garbage,Non-Emergency,Electronic City,2025-08-12 13:45:25,Acknowledged
"Smoke rising near BTM Layout, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-06 23:52:25,Resolved
Waste blocking road at MG Road.,Garbage,Non-Emergency,BTM Layout,2025-08-23 22:14:25,Acknowledged
Dangerous pothole reported at Yeshwanthpur.,Potholes,Non-Emergency,HSR Layout,2025-08-08 07:39:25,Acknowledged
"Bike accident occurred at Whitefield, police required.",Accident,Emergency,Brigade Road,2025-08-08 15:00:25,Acknowledged
"Murder reported near Koramangala, urgent action needed.",Crime,Emergency,MG Road,2025-08-07 08:39:25,New
Dangerous pothole reported at Indiranagar.,Potholes,Non-Emergency,HSR Layout,2025-08-03 06:22:25,New
"Bike accident occurred at Koramangala, police required.",Accident,Emergency,MG Road,2025-08-10 06:48:25,Acknowledged
"Garbage dumped at BTM Layout, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-08-25 21:05:25,Acknowledged
"Murder reported near Whitefield, urgent action needed.",Crime,Emergency,Hebbal,2025-08-04 08:09:25,Acknowledged
"Bike accident occurred at BTM Layout, police required.",Accident,Emergency,MG Road,2025-07-30 03:47:25,New
"Major accident on Indiranagar, multiple vehicles involved.",Accident,Emergency,MG Road,2025-08-26 16:53:25,Resolved
"Major accident on Yeshwanthpur, multiple vehicles involved.",Accident,Emergency,Whitefield,2025-08-24 22:29:25,Acknowledged
Dangerous pothole reported at Whitefield.,Potholes,Non-Emergency,Electronic City,2025-08-20 16:16:25,New
"Smoke rising near Indiranagar, seems like a fire incident.",Fire,Emergency,Electronic City,2025-08-25 18:44:25,Acknowledged
"Bike accident occurred at Indiranagar, police required.",Accident,Emergency,Hebbal,2025-08-03 22:28:25,Resolved
Overflowing trash bin near Electronic City.,Garbage,Non-Emergency,MG Road,2025-08-09 11:00:25,New
"Garbage dumped at Indiranagar, smells bad.",Garbage,Non-Emergency,Koramangala,2025-08-18 06:00:25,Acknowledged
Pothole causing accidents near Whitefield.,Potholes,Non-Emergency,BTM Layout,2025-08-03 06:11:25,New
Accident causing traffic delays on HSR Layout.,Traffic,Non-Emergency,Indiranagar,2025-08-20 07:02:25,Acknowledged
Huge fire reported at Whitefield.,Fire,Emergency,Yeshwanthpur,2025-07-30 16:06:25,Resolved
Plastic waste causing pollution at Electronic City.,Pollution,Non-Emergency,HSR Layout,2025-08-19 06:58:25,Acknowledged
"Person fainted at Yeshwanthpur, need medical help.",Medical,Emergency,HSR Layout,2025-07-30 17:05:25,New
Overflowing trash bin near HSR Layout.,Garbage,Non-Emergency,HSR Layout,2025-08-05 10:54:25,New
Dangerous pothole reported at MG Road.,Potholes,Non-Emergency,Indiranagar,2025-08-27 23:22:25,New
Emergency! Fire outbreak at HSR Layout.,Fire,Emergency,Hebbal,2025-08-07 14:53:25,New
Accident causing traffic delays on Indiranagar.,Traffic,Non-Emergency,Brigade Road,2025-08-03 12:40:25,Resolved
Robbery reported at Indiranagar.,Crime,Emergency,Brigade Road,2025-08-04 10:15:25,New
Pothole causing accidents near Indiranagar.,Potholes,Non-Emergency,MG Road,2025-08-16 10:03:25,Resolved
"Smoke rising near Indiranagar, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-06 06:21:25,Resolved
"Murder reported near Hebbal, urgent action needed.",Crime,Emergency,Brigade Road,2025-08-03 21:02:25,New
"Major accident on Electronic City, multiple vehicles involved.",Accident,Emergency,Whitefield,2025-08-24 22:44:25,Acknowledged
Air pollution level rising around BTM Layout.,Pollution,Non-Emergency,Hebbal,2025-08-07 04:42:25,New
Road at HSR Layout has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-19 00:55:25,Acknowledged
"Major accident on Brigade Road, multiple vehicles involved.",Accident,Emergency,BTM Layout,2025-08-08 09:28:25,Resolved
Water pollution noticed near Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-10 05:02:25,New
Heart attack case reported at BTM Layout.,Medical,Emergency,HSR Layout,2025-08-24 11:31:25,Resolved
"Injury reported at Indiranagar, need hospital support.",Medical,Emergency,Electronic City,2025-08-14 11:49:25,New
Huge fire reported at Hebbal.,Fire,Emergency,Brigade Road,2025-08-19 04:12:25,Resolved
Garbage not collected from MG Road for 3 days.,Garbage,Non-Emergency,MG Road,2025-07-31 22:38:25,Resolved
Accident causing traffic delays on Whitefield.,Traffic,Non-Emergency,Whitefield,2025-08-14 05:55:25,Acknowledged
"Road blocked near Yeshwanthpur, vehicles moving slowly.",Traffic,Non-Emergency,Whitefield,2025-08-13 13:21:25,Acknowledged
"Road blocked near BTM Layout, vehicles moving slowly.",Traffic,Non-Emergency,MG Road,2025-08-16 16:10:25,New
Air pollution level rising around Brigade Road.,Pollution,Non-Emergency,Hebbal,2025-07-30 14:47:25,New
Robbery reported at Whitefield.,Crime,Emergency,MG Road,2025-08-25 02:43:25,New
Air pollution level rising around BTM Layout.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-15 12:12:25,New
Industrial smoke polluting air at Whitefield.,Pollution,Non-Emergency,Brigade Road,2025-08-05 19:33:25,Resolved
"Garbage dumped at Whitefield, smells bad.",Garbage,Non-Emergency,Hebbal,2025-08-26 16:58:25,Resolved
Dangerous pothole reported at Hebbal.,Potholes,Non-Emergency,Koramangala,2025-08-11 21:16:25,Resolved
Waste blocking road at Yeshwanthpur.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-07 19:27:25,New
Overflowing trash bin near Whitefield.,Garbage,Non-Emergency,HSR Layout,2025-08-24 15:23:25,New
Heavy traffic jam at MG Road.,Traffic,Non-Emergency,Hebbal,2025-08-19 09:39:25,Resolved
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,BTM Layout,2025-07-30 06:11:25,Resolved
Air pollution level rising around Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-08-11 22:26:25,New
Emergency! Fire outbreak at Brigade Road.,Fire,Emergency,MG Road,2025-07-29 20:15:25,Resolved
Dangerous pothole reported at HSR Layout.,Potholes,Non-Emergency,BTM Layout,2025-08-21 13:58:25,Acknowledged
Heart attack case reported at Electronic City.,Medical,Emergency,MG Road,2025-08-05 08:15:25,Acknowledged
Air pollution level rising around Whitefield.,Pollution,Non-Emergency,BTM Layout,2025-08-28 08:37:25,Acknowledged
"Smoke rising near BTM Layout, seems like a fire incident.",Fire,Emergency,Hebbal,2025-08-21 05:38:25,Resolved
Pothole causing accidents near Koramangala.,Potholes,Non-Emergency,Whitefield,2025-08-08 04:30:25,Resolved
"Huge pothole on Koramangala, risky for bikers.",Potholes,Non-Emergency,Hebbal,2025-08-11 12:22:25,Acknowledged
Road at BTM Layout has multiple potholes.,Potholes,Non-Emergency,Brigade Road,2025-08-01 18:24:25,New
"Major accident on Hebbal, multiple vehicles involved.",Accident,Emergency,MG Road,2025-08-19 02:14:25,Acknowledged
"Murder reported near Yeshwanthpur, urgent action needed.",Crime,Emergency,Electronic City,2025-08-11 22:51:25,New
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,HSR Layout,2025-08-13 10:11:25,New
"Car crash at Electronic City, traffic blocked.",Accident,Emergency,Brigade Road,2025-08-25 10:13:25,Resolved
Suspicious activity noticed at MG Road.,Crime,Emergency,Electronic City,2025-08-22 14:14:25,Resolved
Industrial smoke polluting air at Hebbal.,Pollution,Non-Emergency,Brigade Road,2025-08-02 12:16:25,Acknowledged
Heavy traffic jam at Brigade Road.,Traffic,Non-Emergency,Yeshwanthpur,2025-08-05 13:12:25,New
"Car crash at Hebbal, traffic blocked.",Accident,Emergency,Hebbal,2025-08-23 10:46:25,Acknowledged
Huge fire reported at BTM Layout.,Fire,Emergency,Koramangala,2025-08-05 20:43:25,Acknowledged
Air pollution level rising around Indiranagar.,Pollution,Non-Emergency,Yeshwanthpur,2025-07-31 02:07:25,Acknowledged
Overflowing trash bin near Koramangala.,Garbage,Non-Emergency,Yeshwanthpur,2025-08-08 23:07:25,New
Plastic waste causing pollution at BTM Layout.,Pollution,Non-Emergency,Whitefield,2025-08-05 06:33:25,Resolved
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,Indiranagar,2025-08-18 09:24:25,Resolved
"Road blocked near Indiranagar, vehicles moving slowly.",Traffic,Non-Emergency,Indiranagar,2025-08-27 00:24:25,Resolved
"Garbage dumped at Indiranagar, smells bad.",Garbage,Non-Emergency,Indiranagar,2025-08-24 23:46:25,Resolved
Dangerous pothole reported at Indiranagar.,Potholes,Non-Emergency,Whitefield,2025-08-05 12:28:25,New
"Bike accident occurred at Hebbal, police required.",Accident,Emergency,Hebbal,2025-08-10 06:09:25,New
Plastic waste causing pollution at Hebbal.,Pollution,Non-Emergency,HSR Layout,2025-08-15 18:56:25,New
Medical emergency near Brigade Road.,Medical,Emergency,Yeshwanthpur,2025-08-11 17:05:25,New
Heavy traffic jam at BTM Layout.,Traffic,Non-Emergency,Koramangala,2025-08-16 15:57:25,New
Medical emergency near MG Road.,Medical,Emergency,Koramangala,2025-08-22 06:32:25,New
Traffic congestion reported at Yeshwanthpur.,Traffic,Non-Emergency,Koramangala,2025-07-29 01:28:25,Acknowledged
